Barrio;Deporte;Comprar;Restaurantes;Fiesta;Museos;Naturaleza;Cursos;Pasear;Tranquilo;Familiar;Seguro;Concurrido;Limpio;Trendy;Multicultural;Barato;Verde;Adinerado;Clásico;Coche;Metro;Bus;Bicicleta;Soltero;Estudiante;Pareja;Familia;Jubilado
 Palacio;0;4;5;3;5;0.21;0.77;5;4.31;0.26;76.5;1.75;1.26;5;2.19;-2.39;0.02;1.26;5;2.83;4.17;5;3.39;0.43;5;0.21;0;1.07
 Embajadores;0;3;5;3;5;0.21;0.77;5;4.31;0.26;76.5;5;0.59;5;3.3;-2.04;0.02;0.59;5;2.83;4.17;5;3.13;0.43;5;0.21;0;1.07
 Cortes;0;3;5;3;5;0.21;0.77;5;4.31;0.26;76.5;1.99;1.4;5;3.13;-2.63;0.02;1.4;5;2.83;4.17;5;0.71;0.43;5;0.21;0;1.07
 Justicia;0;5;5;3;5;0.21;0.77;5;4.31;0.26;76.5;2.69;1.91;5;2.76;-3.16;0.02;1.91;5;2.83;4.17;5;5;0.43;5;0.21;0;1.07
 Universidad;0;5;5;5;5;0.21;0.77;5;4.31;0.26;76.5;3.86;1.01;5;2.82;-2.7;0.02;1.01;5;2.83;4.17;5;2.77;0.43;5;0.21;0;1.07
 Sol;0;5;5;5;5;0.21;0.77;5;4.31;0.26;76.5;1.96;0.99;5;3.77;-2.43;0.02;0.99;5;2.83;4.17;5;1.07;0.43;5;0.21;0;1.07
 Imperial;1.38;4;4;3;0.44;0.97;2.1;5;3.78;1.41;67.1;2.55;1.82;4;0.56;-2.14;0.51;1.82;0.27;1.46;1.67;5;1.52;1.6;1.31;0.8;1.99;2.44
 Acacias;1.38;4;4;3;0.44;0.97;2.1;5;3.78;1.41;67.1;3.71;1.88;4;0.52;-1.94;0.51;1.88;0.27;1.46;1.67;5;0.54;1.6;1.31;0.8;1.99;2.44
 Chopera;1.38;3;4;3;0.44;0.97;2.1;5;3.78;1.41;67.1;3.87;0.98;4;1.74;-1.69;0.51;0.98;0.27;1.46;1.67;5;0.18;1.6;1.31;0.8;1.99;2.44
 Legazpi;1.38;3;4;3;0.44;0.97;2.1;5;3.78;1.41;67.1;1.51;2.22;4;0.55;-2.27;0.51;2.22;0.27;1.46;1.67;5;0.8;1.6;1.31;0.8;1.99;2.44
 Delicias;1.38;3;4;3;0.44;0.97;2.1;5;3.78;1.41;67.1;2.94;1.55;4;1.28;-1.84;0.51;1.55;0.27;1.46;1.67;5;0.98;1.6;1.31;0.8;1.99;2.44
 Palos de Moguer;1.38;3;4;3;0.44;0.97;2.1;5;3.78;1.41;67.1;4.35;1.15;4;1.74;-1.83;0.51;1.15;0.27;1.46;1.67;5;0.8;1.6;1.31;0.8;1.99;2.44
 Atocha;1.38;4;4;4;0.44;0.97;2.1;5;3.78;1.41;67.1;0.21;1.52;4;0.43;-1.63;0.51;1.52;0.27;1.46;1.67;5;0.27;1.6;1.31;0.8;1.99;2.44
 Pacífico;1.1;4;5;4;2.2;1.4;2.1;5;4.14;0.83;65;4.77;1.68;4;0.94;-2.02;0.34;1.68;3.04;2.94;0.83;5;0.27;0.25;3.46;0.13;2.05;4.6
 Adelfas;1.1;4;5;4;2.2;1.4;2.1;5;4.14;0.83;65;3.18;2.01;4;0.52;-1.94;0.34;2.01;3.04;2.94;0.83;5;0.27;0.25;3.46;0.13;2.05;4.6
 Estrella;1.1;4;5;5;2.2;1.4;2.1;5;4.14;0.83;65;2.46;2.99;4;0.14;-2.06;0.34;2.99;3.04;2.94;0.83;5;1.34;0.25;3.46;0.13;2.05;4.6
 Ibiza;1.1;5;5;5;2.2;1.4;2.1;5;4.14;0.83;65;4.79;2.05;4;1.26;-2.86;0.34;2.05;3.04;2.94;0.83;5;0.27;0.25;3.46;0.13;2.05;4.6
 Jerónimos;1.1;3;5;3;2.2;1.4;2.1;5;4.14;0.83;65;0.4;3.66;4;1.33;-4.05;0.34;3.66;3.04;2.94;0.83;5;1.25;0.25;3.46;0.13;2.05;4.6
 Niño Jesús;1.1;4;5;3;2.2;1.4;2.1;5;4.14;0.83;65;2.6;3.52;4;0.35;-2.57;0.34;3.52;3.04;2.94;0.83;5;0.27;0.25;3.46;0.13;2.05;4.6
 Recoletos;0.09;5;5;5;1.49;0.23;1.18;5;4.23;1.05;69.8;1.96;4.28;4;2.24;-5;0.06;4.28;0.74;5;2.92;5;0.27;0.25;0.88;0.13;1.56;3.97
 Goya;0.09;5;5;4;1.49;0.23;1.18;5;4.23;1.05;69.8;4.19;2.36;4;1.79;-3.18;0.06;2.36;0.74;5;2.92;5;0.27;0.25;0.88;0.13;1.56;3.97
 Fuente del Berro;0.09;5;5;4;1.49;0.23;1.18;5;4.23;1.05;69.8;2.69;1.63;4;1.4;-2.26;0.06;1.63;0.74;5;2.92;5;0.27;0.25;0.88;0.13;1.56;3.97
 Guindalera;0.09;5;5;4;1.49;0.23;1.18;5;4.23;1.05;69.8;2.86;2.05;4;1.15;-2.01;0.06;2.05;0.74;5;2.92;5;0.27;0.25;0.88;0.13;1.56;3.97
 Lista;0.09;5;5;4;1.49;0.23;1.18;5;4.23;1.05;69.8;4.39;2.36;4;1.68;-3.26;0.06;2.36;0.74;5;2.92;5;0.27;0.25;0.88;0.13;1.56;3.97
 Castellana;0.09;5;5;5;1.49;0.23;1.18;5;4.23;1.05;69.8;2.42;4.26;4;2.1;-3.98;0.06;4.26;0.74;5;2.92;5;0.71;0.25;0.88;0.13;1.56;3.97
 El Viso;0.26;1;4;4;0.57;0.08;2.42;5;4.14;1.58;74.9;1.11;4.18;3;1.19;-3.67;0.02;4.18;0.68;2.53;2.92;5;0.71;1.38;2.26;0.69;2.7;3.8
 Prosperidad;0.26;2;4;4;0.57;0.08;2.42;5;4.14;1.58;74.9;3.82;1.82;3;1.09;-2.15;0.02;1.82;0.68;2.53;2.92;5;0.71;1.38;2.26;0.69;2.7;3.8
 Ciudad Jardín;0.26;3;4;4;0.57;0.08;2.42;5;4.14;1.58;74.9;2.67;1.97;3;1.35;-2.32;0.02;1.97;0.68;2.53;2.92;5;1.25;1.38;2.26;0.69;2.7;3.8
 Hispanoamérica;0.26;4;4;4;0.57;0.08;2.42;5;4.14;1.58;74.9;2.02;3.41;3;0.68;-2.89;0.02;3.41;0.68;2.53;2.92;5;1.07;1.38;2.26;0.69;2.7;3.8
 Nueva España;0.26;3;4;4;0.57;0.08;2.42;5;4.14;1.58;74.9;1.51;4.02;3;0.89;-3.22;0.02;4.02;0.68;2.53;2.92;5;1.25;1.38;2.26;0.69;2.7;3.8
 Castilla;0.26;4;4;4;0.57;0.08;2.42;5;4.14;1.58;74.9;0.86;2.84;3;0.94;-2.12;0.02;2.84;0.68;2.53;2.92;5;0.54;1.38;2.26;0.69;2.7;3.8
 Bellas Vistas;0.32;3;3;3;0.13;0.32;1.17;5;3.34;1.34;70.3;4.51;0.88;3;3.13;-1.42;0.04;0.88;0.14;1.99;0.83;5;0.8;1.57;2.32;0.79;1.73;2.36
 Cuatro Caminos;0.32;4;3;4;0.13;0.32;1.17;5;3.34;1.34;70.3;3.21;1.78;3;1.84;-2.19;0.04;1.78;0.14;1.99;0.83;5;0.8;1.57;2.32;0.79;1.73;2.36
 Castillejos;0.32;4;3;3;0.13;0.32;1.17;5;3.34;1.34;70.3;3.19;1.94;3;1.82;-2.18;0.04;1.94;0.14;1.99;0.83;5;0.71;1.57;2.32;0.79;1.73;2.36
 Almenara;0.32;3;3;3;0.13;0.32;1.17;5;3.34;1.34;70.3;2.49;0.74;3;2.01;-1.39;0.04;0.74;0.14;1.99;0.83;5;0.8;1.57;2.32;0.79;1.73;2.36
 Valdeacederas;0.32;3;3;2;0.13;0.32;1.17;5;3.34;1.34;70.3;2.5;0.64;3;2.97;-1.38;0.04;0.64;0.14;1.99;0.83;5;1.07;1.57;2.32;0.79;1.73;2.36
 Berruguete;0.32;3;3;2;0.13;0.32;1.17;5;3.34;1.34;70.3;4.63;0.73;3;3.23;-1.35;0.04;0.73;0.14;1.99;0.83;5;0.36;1.57;2.32;0.79;1.73;2.36
 Gaztambide;0;5;5;5;0.51;0;1.17;5;4.36;0.84;67.7;4.96;1.8;5;1.28;-2.3;0;1.8;0.34;2.74;1.25;5;0.36;0.02;0;0.01;1.38;4.07
 Arapiles;0;5;5;5;0.51;0;1.17;5;4.36;0.84;67.7;4.59;1.82;5;1.28;-2.66;0;1.82;0.34;2.74;1.25;5;0.36;0.02;0;0.01;1.38;4.07
 Trafalgar;0;5;5;5;0.51;0;1.17;5;4.36;0.84;67.7;4.4;1.77;5;1.64;-2.89;0;1.77;0.34;2.74;1.25;5;1.07;0.02;0;0.01;1.38;4.07
 Almagro;0;5;5;5;0.51;0;1.17;5;4.36;0.84;67.7;2.28;3.37;5;1.6;-3.64;0;3.37;0.34;2.74;1.25;5;0.89;0.02;0;0.01;1.38;4.07
 Ríos Rosas;0;5;5;5;0.51;0;1.17;5;4.36;0.84;67.7;3.05;2.31;5;1.21;-2.82;0;2.31;0.34;2.74;1.25;5;1.25;0.02;0;0.01;1.38;4.07
 Vallehermoso;0;5;5;5;0.51;0;1.17;5;4.36;0.84;67.7;2.05;2.85;5;0.49;-2.65;0;2.85;0.34;2.74;1.25;5;1.96;0.02;0;0.01;1.38;4.07
 El Pardo;2.27;2;3;1;0.26;0;3.45;5;4.36;5;61.7;0;1.26;2;0.01;-3.16;0;1.26;0.34;1.99;5;5;1.96;3.83;0.74;1.92;4.49;2.74
 Fuentelarreina;2.27;2;4;1;0.26;0;3.45;5;4.36;5;61.7;0.26;4.91;2;0.68;-1.47;0;4.91;0.34;1.99;5;5;1.96;3.83;0.74;1.92;4.49;2.74
 Peñagrande;2.27;2;3;1;0.26;0;3.45;5;4.36;5;61.7;1.68;1.96;2;0.67;-1.52;0;1.96;0.34;1.99;5;5;1.96;3.83;0.74;1.92;4.49;2.74
 Pilar;2.27;3;3;1;0.26;0;3.45;5;4.36;5;61.7;3.69;1.02;2;1.36;-1.36;0;1.02;0.34;1.99;5;5;1.96;3.83;0.74;1.92;4.49;2.74
 La Paz;2.27;3;3;1;0.26;0;3.45;5;4.36;5;61.7;1.67;2.88;2;0.25;-1.7;0;2.88;0.34;1.99;5;5;1.96;3.83;0.74;1.92;4.49;2.74
 Valverde;2.27;3;4;1;0.26;0;3.45;5;4.36;5;61.7;0.78;1.78;2;1.27;-1.71;0;1.78;0.34;1.99;5;5;1.88;3.83;0.74;1.92;4.49;2.74
 Mirasierra;2.27;3;3;1;0.26;0;3.45;5;4.36;5;61.7;0.54;3.62;2;0.19;-0.91;0;3.62;0.34;1.99;5;5;1.34;3.83;0.74;1.92;4.49;2.74
 El Goloso;2.27;3;3;1;0.26;0;3.45;5;4.36;5;61.7;0.08;3.27;2;0.23;-1.96;0;3.27;0.34;1.99;5;5;0.89;3.83;0.74;1.92;4.49;2.74
 Casa de Campo;3.26;0;3;0;2.32;3.42;3.45;5;4.39;1.18;70.8;0.08;1.69;3;0.77;-1.84;0.41;1.69;1.69;1.88;0.42;5;1.61;1.96;0;0.98;2.89;3.22
 Argüelles;3.26;5;5;5;2.32;3.42;3.45;5;4.39;1.18;70.8;3.49;2.4;5;1.53;-2.48;0.41;2.4;1.69;1.88;0.42;5;0.54;1.96;0;0.98;2.89;3.22
 Ciudad Universitaria;3.26;1;2;5;2.32;3.42;3.45;5;4.39;1.18;70.8;0.12;3.12;5;0.79;-1.78;0.41;3.12;1.69;1.88;0.42;5;0.8;1.96;0;0.98;2.89;3.22
 Valdezarza;3.26;3;3;5;2.32;3.42;3.45;5;4.39;1.18;70.8;2.35;1.15;3;1.28;-1.14;0.41;1.15;1.69;1.88;0.42;5;0.54;1.96;0;0.98;2.89;3.22
 Valdemarín;3.26;3;4;3;2.32;3.42;3.45;5;4.39;1.18;70.8;0.23;4.93;4;0.73;-1.94;0.41;4.93;1.69;1.88;0.42;5;0;1.96;0;0.98;2.89;3.22
 El Plantío;3.26;2;2;2;2.32;3.42;3.45;5;4.39;1.18;70.8;0.09;5;4;1.11;-0.99;0.41;5;1.69;1.88;0.42;5;0.09;1.96;0;0.98;2.89;3.22
 Aravaca;3.26;3;5;3;2.32;3.42;3.45;5;4.39;1.18;70.8;0.52;3.66;4;0.88;-1.9;0.41;3.66;1.69;1.88;0.42;5;0.98;1.96;0;0.98;2.89;3.22
 Los Cármenes;4.7;4;5;5;0.28;1.26;1.92;5;5;2.9;73;1.49;0.73;3;1.92;-0.66;2.32;0.73;0.27;1.89;2.92;5;0.98;0.58;0;0.29;1.99;4.23
 Puerta del Angel;4.7;3;5;5;0.28;1.26;1.92;5;5;2.9;73;3.34;0.61;4;2.61;-0.83;2.32;0.61;0.27;1.89;2.92;5;0.98;0.58;0;0.29;1.99;4.23
 Lucero;4.7;3;5;3;0.28;1.26;1.92;5;5;2.9;73;2.38;0.77;3;2.28;-0.59;2.32;0.77;0.27;1.89;2.92;5;0.71;0.58;0;0.29;1.99;4.23
 Aluche;4.7;3;5;3;0.28;1.26;1.92;5;5;2.9;73;2.57;0.81;2;2.06;-0.58;2.32;0.81;0.27;1.89;2.92;5;0.8;0.58;0;0.29;1.99;4.23
 Campamento;4.7;3;5;3;0.28;1.26;1.92;5;5;2.9;73;0.23;0.87;2;2.46;-0.53;2.32;0.87;0.27;1.89;2.92;5;0.18;0.58;0;0.29;1.99;4.23
 Cuatro Vientos;4.7;3;5;2;0.28;1.26;1.92;5;5;2.9;73;0.12;1.15;2;0.8;-0.63;2.32;1.15;0.27;1.89;2.92;5;0.09;0.58;0;0.29;1.99;4.23
 Las Águilas;4.7;3;5;2;0.28;1.26;1.92;5;5;2.9;73;1.56;0.75;2;1.32;-0.57;2.32;0.75;0.27;1.89;2.92;5;1.34;0.58;0;0.29;1.99;4.23
 Comillas;0.61;3;3;2;0.44;1.74;5;5;3.45;4.04;66.5;3.73;0.59;3;2.44;-0.98;0.27;0.59;0.34;1.45;2.92;5;1.34;3.1;0.94;1.55;2.94;2.29
 Opañel;0.61;2;3;2;0.44;1.74;5;5;3.45;4.04;66.5;3.33;0.63;3;2.88;-0.64;0.27;0.63;0.34;1.45;2.92;5;1.34;3.1;0.94;1.55;2.94;2.29
 San Isidro;0.61;3;3;2;0.44;1.74;5;5;3.45;4.04;66.5;2.29;0.5;3;2.71;-0.6;0.27;0.5;0.34;1.45;2.92;5;1.34;3.1;0.94;1.55;2.94;2.29
 Vista Alegre;0.61;2;3;2;0.44;1.74;5;5;3.45;4.04;66.5;3.24;0.58;3;3.18;-0.5;0.27;0.58;0.34;1.45;2.92;5;1.34;3.1;0.94;1.55;2.94;2.29
 Puerta Bonita;0.61;2;3;2;0.44;1.74;5;5;3.45;4.04;66.5;2.44;0.45;3;3.14;-0.4;0.27;0.45;0.34;1.45;2.92;5;1.34;3.1;0.94;1.55;2.94;2.29
 Buenavista;0.61;3;3;2;0.44;1.74;5;5;3.45;4.04;66.5;0.93;0.88;3;1.56;-0.4;0.27;0.88;0.34;1.45;2.92;5;1.34;3.1;0.94;1.55;2.94;2.29
 Abrantes;0.61;3;3;2;0.44;1.74;5;5;3.45;4.04;66.5;2.2;0.63;3;2.87;-0.4;0.27;0.63;0.34;1.45;2.92;5;1.34;3.1;0.94;1.55;2.94;2.29
 Orcasitas;2.59;2;2;1;0.36;1.35;0.89;5;2.02;1.78;62.3;1.86;0.59;2;0.92;-0.31;0.25;0.59;0.14;0.34;0.42;5;1.34;4.41;0.6;2.2;3.23;1.63
 Orcasur;2.59;2;2;1;0.36;1.35;0.89;5;2.02;1.78;62.3;1.11;0.44;2;2.11;-0.35;0.25;0.44;0.14;0.34;0.42;5;1.34;4.41;0.6;2.2;3.23;1.63
 San Fermín;2.59;3;3;1;0.36;1.35;0.89;5;2.02;1.78;62.3;1.77;0.45;2;2.49;-0.35;0.25;0.45;0.14;0.34;0.42;5;1.34;4.41;0.6;2.2;3.23;1.63
 Almendrales;2.59;3;3;1;0.36;1.35;0.89;5;2.02;1.78;62.3;3.16;0.48;3;3.57;-0.43;0.25;0.48;0.14;0.34;0.42;5;1.34;4.41;0.6;2.2;3.23;1.63
 Moscardó;2.59;2;2;1;0.36;1.35;0.89;5;2.02;1.78;62.3;3.2;0.5;3;3.55;-0.66;0.25;0.5;0.14;0.34;0.42;5;1.34;4.41;0.6;2.2;3.23;1.63
 Zofio;2.59;2;3;1;0.36;1.35;0.89;5;2.02;1.78;62.3;2.03;0.46;3;3.41;-0.41;0.25;0.46;0.14;0.34;0.42;5;1.34;4.41;0.6;2.2;3.23;1.63
 Pradolongo;2.59;2;3;1;0.36;1.35;0.89;5;2.02;1.78;62.3;1.79;0.26;3;4.36;-0.4;0.25;0.26;0.14;0.34;0.42;5;1.34;4.41;0.6;2.2;3.23;1.63
 Entrevías;4.11;2;2;1;0.41;1.57;0.89;5;1.33;3.37;65.2;0.64;0.22;2;2.03;-0.08;0.4;0.22;0.41;0.17;0.83;5;1.34;3.22;1.45;1.61;2.66;1.93
 San Diego;4.11;2;3;1;0.41;1.57;0.89;5;1.33;3.37;65.2;4.46;0.14;2;4.12;-0.4;0.4;0.14;0.41;0.17;0.83;5;1.34;3.22;1.45;1.61;2.66;1.93
 Palomeras Bajas;4.11;2;3;1;0.41;1.57;0.89;5;1.33;3.37;65.2;2.57;0.68;2;1.72;-0.39;0.4;0.68;0.41;0.17;0.83;5;1.34;3.22;1.45;1.61;2.66;1.93
 Palomeras Sureste;4.11;2;3;1;0.41;1.57;0.89;5;1.33;3.37;65.2;1.51;0.55;2;1.46;-0.38;0.4;0.55;0.41;0.17;0.83;5;1.34;3.22;1.45;1.61;2.66;1.93
 Portazgo;4.11;2;2;1;0.41;1.57;0.89;5;1.33;3.37;65.2;2.52;0.32;2;1.9;-0.39;0.4;0.32;0.41;0.17;0.83;5;1.34;3.22;1.45;1.61;2.66;1.93
 Numancia;4.11;2;3;1;0.41;1.57;0.89;5;1.33;3.37;65.2;2.85;0.39;2;2.93;-0.51;0.4;0.39;0.41;0.17;0.83;5;1.34;3.22;1.45;1.61;2.66;1.93
 Pavones;5;3;3;1;0.04;0.86;1.64;5;4.5;0.28;67.2;0.97;1.04;1;0.95;-0.82;0.26;1.04;0.07;1.98;0;5;1.34;0;0.78;0;1.71;5
 Horcajo;5;3;3;1;0.04;0.86;1.64;5;4.5;0.28;67.2;0.93;1.87;1;0.45;-0.82;0.26;1.87;0.07;1.98;0;5;1.34;0;0.78;0;1.71;5
 Marroquina;5;3;3;1;0.04;0.86;1.64;5;4.5;0.28;67.2;1.63;1.52;1;0.5;-1.09;0.26;1.52;0.07;1.98;0;5;1.34;0;0.78;0;1.71;5
 Media Legua;5;3;2;1;0.04;0.86;1.64;5;4.5;0.28;67.2;1.93;1.17;1;1.03;-0.89;0.26;1.17;0.07;1.98;0;5;1.34;0;0.78;0;1.71;5
 Fontarrón;5;3;3;1;0.04;0.86;1.64;5;4.5;0.28;67.2;1.96;0.62;1;2.09;-0.66;0.26;0.62;0.07;1.98;0;5;1.34;0;0.78;0;1.71;5
 Vinateros;5;3;3;1;0.04;0.86;1.64;5;4.5;0.28;67.2;3.1;0.68;1;1.5;-0.81;0.26;0.68;0.07;1.98;0;5;1.34;0;0.78;0;1.71;5
 Ventas;1.01;3;3;3;0.36;0.41;1.23;5;4.53;2.59;68;1.65;0.66;3;2.5;-0.84;0.19;0.66;0.14;1.82;2.08;5;1.34;0.97;2.73;0.49;2.09;3.72
 Pueblo Nuevo;1.01;3;3;3;0.36;0.41;1.23;5;4.53;2.59;68;2.96;0.77;3;2.64;-0.83;0.19;0.77;0.14;1.82;2.08;5;1.34;0.97;2.73;0.49;2.09;3.72
 Quintana;1.01;3;3;3;0.36;0.41;1.23;5;4.53;2.59;68;3.72;0.78;3;2.71;-1.1;0.19;0.78;0.14;1.82;2.08;5;1.34;0.97;2.73;0.49;2.09;3.72
 Concepción;1.01;3;3;3;0.36;0.41;1.23;5;4.53;2.59;68;2.56;1.14;3;1.78;-1.34;0.19;1.14;0.14;1.82;2.08;5;1.34;0.97;2.73;0.49;2.09;3.72
 San Pascual;1.01;4;3;3;0.36;0.41;1.23;5;4.53;2.59;68;1.85;1.63;3;0.87;-1.46;0.19;1.63;0.14;1.82;2.08;5;1.34;0.97;2.73;0.49;2.09;3.72
 San Juan Bautista;1.01;3;3;3;0.36;0.41;1.23;5;4.53;2.59;68;1.35;2.84;3;0.91;-2.13;0.19;2.84;0.14;1.82;2.08;5;1.34;0.97;2.73;0.49;2.09;3.72
 Colina;1.01;2;3;3;0.36;0.41;1.23;5;4.53;2.59;68;1.24;2.48;3;1.06;-2.45;0.19;2.48;0.14;1.82;2.08;5;1.34;0.97;2.73;0.49;2.09;3.72
 Atalaya;1.01;2;3;3;0.36;0.41;1.23;5;4.53;2.59;68;0.69;3.45;3;0.97;-1.14;0.19;3.45;0.14;1.82;2.08;5;1.34;0.97;2.73;0.49;2.09;3.72
 Costillares;1.01;3;3;3;0.36;0.41;1.23;5;4.53;2.59;68;1.69;3.48;3;0.34;-2.04;0.19;3.48;0.14;1.82;2.08;5;1.34;0.97;2.73;0.49;2.09;3.72
 Palomas;3.22;3;3;2;0.96;5;1.18;5;4.31;3.52;66.4;0.67;4.55;3;0.94;-2.02;5;4.55;0.07;1.18;4.58;5;1.34;4.82;3.04;2.41;4.42;2
 Piovera;3.22;2;3;2;0.96;5;1.18;5;4.31;3.52;66.4;0.52;4.55;3;1.51;-2.33;5;4.55;0.07;1.18;4.58;5;1.34;4.82;3.04;2.41;4.42;2
 Canillas;3.22;2;3;2;0.96;5;1.18;5;4.31;3.52;66.4;1.75;1.52;3;0.86;-1.38;5;1.52;0.07;1.18;4.58;5;1.34;4.82;3.04;2.41;4.42;2
 Pinar del Rey;3.22;1;3;2;0.96;5;1.18;5;4.31;3.52;66.4;2.15;1.04;3;1.3;-1.09;5;1.04;0.07;1.18;4.58;5;1.34;4.82;3.04;2.41;4.42;2
 Apóstol Santiago;3.22;2;3;2;0.96;5;1.18;5;4.31;3.52;66.4;1.4;1.26;3;1.11;-1.15;5;1.26;0.07;1.18;4.58;5;1.34;4.82;3.04;2.41;4.42;2
 Valdefuentes;3.22;3;3;2;0.96;5;1.18;5;4.31;3.52;66.4;0.41;2.63;3;0.97;-2.03;5;2.63;0.07;1.18;4.58;5;1.34;4.82;3.04;2.41;4.42;2
 Villaverde;1.73;2;3;2;0.31;0.92;2.74;5;0;2.26;60.8;0.55;0.4;1;2.74;-0.22;0.58;0.4;0.07;0.27;0.42;5;1.34;4.96;0;2.48;3.72;1.66
 San Cristóbal;1.73;3;3;2;0.31;0.92;2.74;5;0;2.26;60.8;1.72;0;1;5;0;0.58;0;0.07;0.27;0.42;5;1.34;4.96;0;2.48;3.72;1.66
 Butarque;1.73;4;3;2;0.31;0.92;2.74;5;0;2.26;60.8;0.35;0.73;1;1.69;-0.59;0.58;0.73;0.07;0.27;0.42;5;1.34;4.96;0;2.48;3.72;1.66
 Los Rosales;1.73;2;3;2;0.31;0.92;2.74;5;0;2.26;60.8;2.68;0.65;1;2.58;-0.28;0.58;0.65;0.07;0.27;0.42;5;1.34;4.96;0;2.48;3.72;1.66
 Los Ángeles;1.73;1;3;2;0.31;0.92;2.74;5;0;2.26;60.8;1.85;0.63;1;2.26;-0.34;0.58;0.63;0.07;0.27;0.42;5;1.34;4.96;0;2.48;3.72;1.66
 Casco Histórico de Vallecas;1.27;4;3;2;0.2;0.25;0;5;2.71;1.79;65.2;0.1;0.37;3;1.94;-0.39;0.02;0.37;0.07;0.23;0.83;5;1.34;10;0.68;5;5;0
 Santa Eugenia;1.27;3;3;2;0.2;0.25;0;5;2.71;1.79;65.2;1.28;1.24;3;0.79;-0.66;0.02;1.24;0.07;0.23;0.83;5;1.34;10;0.68;5;5;0
 Ensanche de Vallecas;1.27;3;3;2;0.2;0.25;0;5;2.71;1.79;65.2;0.86;0.99;3;1.25;-1.1;0.02;0.99;0.07;0.23;0.83;5;1.34;10;0.68;5;5;0
 Casco Histórico de Vicálvaro;2.29;3;4;2;0;0.92;0;5;2.85;0.6;63.6;0.18;0.35;3;2.26;-0.49;0.27;0.35;0;0.19;0.42;5;1.34;7.56;1.78;3.78;4.34;0.72
 Valdebernardo;2.29;2;4;2;0;0.92;0;5;2.85;0.6;63.6;0.75;1.44;3;0.66;-1.16;0.27;1.44;0;0.19;0.42;5;1.34;7.56;1.78;3.78;4.34;0.72
 Valderrivas;2.29;2;4;2;0;0.92;0;5;2.85;0.6;63.6;3.05;1.53;3;0;-0.74;0.27;1.53;0;0.19;0.42;5;1.34;7.56;1.78;3.78;4.34;0.72
 El Cañaveral;2.29;2;4;2;0;0.92;0;5;2.85;0.6;63.6;0.04;0.94;4;0.91;-1.07;0.27;0.94;0;0.19;0.42;5;1.34;7.56;1.78;3.78;4.34;0.72
 Simancas;1;3;4;2;0.39;0.75;2.01;5;3.76;2.12;68.4;1.37;0.88;3;2.41;-0.88;0.17;0.88;0.14;0.95;2.08;5;1.34;3.77;2.75;1.88;3.06;1.91
 Hellín;1;2;4;2;0.39;0.75;2.01;5;3.76;2.12;68.4;1.86;0.33;3;2.05;-0.44;0.17;0.33;0.14;0.95;2.08;5;1.34;3.77;2.75;1.88;3.06;1.91
 Amposta;1;2;4;2;0.39;0.75;2.01;5;3.76;2.12;68.4;2.62;0.18;3;2.75;-0.33;0.17;0.18;0.14;0.95;2.08;5;1.34;3.77;2.75;1.88;3.06;1.91
 Arcos;1;3;4;2;0.39;0.75;2.01;5;3.76;2.12;68.4;2.06;0.71;3;1.34;-0.48;0.17;0.71;0.14;0.95;2.08;5;1.34;3.77;2.75;1.88;3.06;1.91
 Rosas;1;2;4;2;0.39;0.75;2.01;5;3.76;2.12;68.4;0.37;1.81;3;0.28;-1.4;0.17;1.81;0.14;0.95;2.08;5;1.34;3.77;2.75;1.88;3.06;1.91
 Rejas;1;2;4;2;0.39;0.75;2.01;5;3.76;2.12;68.4;0.37;1.39;3;2.12;-1.25;0.17;1.39;0.14;0.95;2.08;5;1.34;3.77;2.75;1.88;3.06;1.91
 Canillejas;1;2;4;2;0.39;0.75;2.01;5;3.76;2.12;68.4;1.98;0.88;3;1.93;-0.69;0.17;0.88;0.14;0.95;2.08;5;1.34;3.77;2.75;1.88;3.06;1.91
 Salvador;1;3;4;2;0.39;0.75;2.01;5;3.76;2.12;68.4;0.66;2.56;3;0.73;-1.49;0.17;2.56;0.14;0.95;2.08;5;1.34;3.77;2.75;1.88;3.06;1.91
 Alameda de Osuna;0.42;2;3;1;1.34;1.83;0.79;5;4.34;0;59.9;1.09;2.44;2;0.46;-1.55;0.29;2.44;0.14;0;1.25;5;1.34;5.21;2.75;2.6;4.45;1.56
 Aeropuerto;0.42;2;3;1;1.34;1.83;0.79;5;4.34;0;59.9;0.01;0.44;2;2.62;-1.42;0.29;0.44;0.14;0;1.25;5;1.34;5.21;2.75;2.6;4.45;1.56
 Casco Histórico de Barajas;0.42;4;3;1;1.34;1.83;0.79;5;4.34;0;59.9;1.49;0.74;2;2.29;-1.14;0.29;0.74;0.14;0;1.25;5;1.34;5.21;2.75;2.6;4.45;1.56
 Timón;0.42;3;3;1;1.34;1.83;0.79;5;4.34;0;59.9;0.28;1.54;2;0.96;-1.17;0.29;1.54;0.14;0;1.25;5;1.34;5.21;2.75;2.6;4.45;1.56
 Corralejos;0.42;3;3;1;1.34;1.83;0.79;5;4.34;0;59.9;0.18;3.51;2;0.43;-1.65;0.29;3.51;0.14;0;1.25;5;1.34;5.21;2.75;2.6;4.45;1.56
